2026-05-05T12:16:14+00:00 | 17/15092 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbraucherschuzt"
2026-05-05T12:16:14+00:00 | 17/15300 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bauen und Wohnen"
2026-05-05T12:16:14+00:00 | 17/15646 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbraucherschtz"
2026-05-05T12:16:14+00:00 | 17/15893 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbrauchschutz"
2026-05-05T12:16:14+00:00 | 17/16198 | ministerium_form | scraped="Ministerium Wirtschaft, Innovation, Digitalisierung und Energie fördert dieses Projekt mit 2,7 Millionen Euro,2 bei Gesamtprojektkosten von 3,8 Mio. Euro.3 Entlang der Strecke sowie im Betriebshof der Märkischen Verkehrsgesellschaft in Iserlohn sollen Ladesäulen installiert werden, die ihren Strom unter anderem aus Photovoltaikanlagen beziehen sollen.4 An der Fachhochschule studieren 2.200 Personen. Die Studenten benötigen eine ausreichende Busanbindung vor allen Dingen in den Haupttaktzeiten am Morgen bzw. Mittag. Hierfür besteht bereits eine normale Busanbindung. Der Minister für Wirtschaft, Innovation, Digitalisierung und Energie"
2026-05-05T12:16:14+00:00 | 17/16224 | ministerium_form | scraped="Minister Bundes- und Europangelegenheiten sowie Internationales"
2026-05-05T12:16:14+00:00 | 17/16292 | ministerium_form | scraped="Minister Finanzen, Minister für Wirtschaft, Innovation, Digitalisierung und Energie"
2026-05-05T12:16:14+00:00 | 17/17057 | ministerium_form | scraped="Ministerium Umwelt, Landwirtschaft, Natur- und Verbraucherschutz die Kleine Anfrage 6506 mit Schreiben vom 14. April 2022"
2026-05-05T12:16:14+00:00 | 17/17058 | ministerium_form | scraped="Ministerium Umwelt, Landwirtschaft. Natur- und Verbraucherschutz die Kleine Anfrage 6507 mit Schreiben vom 14. April 2022"
2026-05-05T12:16:19+00:00 | 18/488 | ministerium_form | scraped="Minister hat die Kleine Anfrage 70 mit Schreiben vom 10. August 2022"
2026-05-05T12:16:19+00:00 | 18/671 | ministerium_form | scraped="Ministerium Wirtschaft, Energie, Bauen, Wohnen und Verkehr des Landes NRW ist zuständig für die Genehmigung der internationalen Verkehrsflughäfen Düsseldorf, Köln-Bonn und Münster-Osnabrück.3 Der Minister für Umwelt, Naturschutz und Verkehr"
2026-05-05T12:16:19+00:00 | 18/2591 | ministerium_form | scraped="Ministerin Wirtschaft, Industrie, Klimaschutz und Energier"
